Numero (col C),Debito - Cuenta (col F),Debito - Descripción (col G),AP - Cuenta (col F),AP - Descripción (col G)
5485,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5486,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5487,7335600000,SERVICIO DE FUMIGACION        ,2205050000,MATERIA PRIMA                 
5488,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5489,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5490,5235600000,PROPAGANDA Y PUBLICIDAD       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5491,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5492,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5493,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5494,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5495,7335950200,SERVICIOS DE LOGISTICA        ,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
5496,5195950300,ACTIVOS DE MENOR CUANTIA      ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5497,1430102000,CRISTAL                       ,2205050000,MATERIA PRIMA                 
5498,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5499,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5500,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5501,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5502,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5503,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5504,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5505,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5506,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5507,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5508,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5509,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5510,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5511,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5512,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5513,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5514,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5515,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5516,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5517,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5518,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5519,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5520,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5521,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5522,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5523,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5524,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5525,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5526,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5527,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5528,1420552000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5529,1430102000,CRISTAL                       ,2205050000,MATERIA PRIMA                 
5530,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5531,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5532,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5533,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5534,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5535,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5536,7395950100,OTROS REPUESTOS VARIOS        ,2205050000,MATERIA PRIMA                 
5537,7395950100,OTROS REPUESTOS VARIOS        ,2205050000,MATERIA PRIMA                 
5538,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5539,5235950500,SERVICIO LOGISTICO PALETIZADO ,2205050000,MATERIA PRIMA                 
5540,7320100000,CONSTRUCICONES Y EDIFICACIONES,2335400000,ARRENDAMIENTOS                
5541,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5542,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5543,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5544,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5545,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5546,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5547,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5548,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5549,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5550,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5551,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5552,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5553,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5554,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5555,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5556,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5557,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5558,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5559,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5560,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5561,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5562,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5563,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5564,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5565,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5566,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5567,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5568,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5569,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5570,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5571,7395250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5572,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335960100,LEG CM FC                     
5573,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5574,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5575,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5576,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5577,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5578,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5579,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5580,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5581,5195950300,ACTIVOS DE MENOR CUANTIA      ,2335960100,LEG CM FC                     
5582,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5583,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5584,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5585,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5586,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5588,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5589,5135050000,ASEO Y VIGILANCIA             ,2335950300,SERVICIOS DE ASEO Y VIGILANCIA
5590,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5591,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5592,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5593,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5594,5235950500,SERVICIO LOGISTICO PALETIZADO ,2205050000,MATERIA PRIMA                 
5595,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5596,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5597,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5598,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5599,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5600,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5601,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5602,5125100000,AFILIACIONES Y SOSTENIMIENTO  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5603,5135950100,OTROS SERVICIOS               ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5604,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5605,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5606,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5607,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5608,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5609,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5610,5140150000,TRAMITES Y LICENCIAS          ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5611,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5612,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5613,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5614,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5615,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5616,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5617,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5618,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5619,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5620,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5621,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5622,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5623,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5624,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5625,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5626,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5627,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5628,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5629,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5630,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5631,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5632,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5633,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5634,1420551500,PASAJES AEREOS                ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5635,1420551500,PASAJES AEREOS                ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5636,1420550500,ALOJAMIENTO Y MANUTENCION     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5637,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5638,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5639,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5640,7335250000,ACUEDUCTO Y ALCANTARILLADO    ,2335500000,SERVICIOS PUBLICOS            
5641,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5642,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5643,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5644,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5645,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5646,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5647,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5648,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5649,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5650,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5651,5195200000,GASTOS DE REPRESENTACION Y REL,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5652,7335300000,ENERGIA ELECTRICA             ,2335500000,SERVICIOS PUBLICOS            
5653,7320100000,CONSTRUCICONES Y EDIFICACIONES,2335400000,ARRENDAMIENTOS                
5654,5135950100,OTROS SERVICIOS               ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5655,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5656,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5657,5110200000,AVALUOS                       ,2335250000,HONORARIOS                    
5658,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5659,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5660,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5661,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5662,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5663,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5664,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5665,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5666,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5667,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5668,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5669,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5670,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5671,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5672,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5673,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2335960100,LEG CM FC                     
5674,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
5675,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5676,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5677,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5678,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5679,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5680,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5681,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5682,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5683,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5684,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5685,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5686,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5687,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5688,5155050000,ALOJAMIENTO Y MANUTENCION     ,2335960100,LEG CM FC                     
5689,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5690,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5691,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5692,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5693,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5694,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5695,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5696,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5697,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5698,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5699,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5700,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5701,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5702,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5703,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5704,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5705,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5706,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335960100,LEG CM FC                     
5707,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5708,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5709,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5710,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5711,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5712,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5713,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5714,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5715,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5716,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5717,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5718,5105950000,OTROS                         ,2335960100,LEG CM FC                     
5719,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5720,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5721,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5722,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5723,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5724,1420103500,ASESORIA TECNICA              ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5725,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5726,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5727,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5728,1420451500,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5729,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5730,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5731,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5732,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5733,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5734,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
5735,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5736,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5737,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5738,7335950200,SERVICIOS DE LOGISTICA        ,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
5739,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5740,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5741,5135950300,SERVICIOS DE INTERNET         ,2335500000,SERVICIOS PUBLICOS            
5742,5235600000,PROPAGANDA Y PUBLICIDAD       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5743,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5744,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5745,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5746,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5747,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5748,5195350000,COMBUSTIBLES Y LUBRICANTES    ,5315200100,RETEFTE ASUMIDA               
5749,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5750,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5751,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5752,1420551500,PASAJES AEREOS                ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5753,1420952000,GASTOS DE REPRESENTACION Y REL,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5754,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5755,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5756,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5757,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5758,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5759,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5760,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5761,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5762,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5763,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5764,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5765,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5766,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5767,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5768,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5769,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5770,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5771,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5772,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5773,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5774,5195950300,ACTIVOS DE MENOR CUANTIA      ,2205050000,MATERIA PRIMA                 
5775,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5776,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5777,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5778,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5779,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
5780,1430102000,CRISTAL                       ,2205050000,MATERIA PRIMA                 
5781,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5782,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5783,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5784,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5785,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
